model;price;km;location;year
Audi Q2 1,0 TFSi 116 Sport ;239.900 kr.;38.000;Nordjylland;2017
Audi A6 45 TFSi Sport Avant S-tr. ;669.900 kr.;7.000;København;2020
Audi A3 35 TFSi Prestige S-tr. ;381.900 kr.;6.000;Østjylland;2021
Audi A3 35 TFSi Prestige Sportback S-tr. ;389.900 kr.;4.000;København;2021
Audi A6 1,8 TFSi 190 Ultra S-line S-tr. ;219.880 kr.;208.000;Østjylland;2015
Audi A2 1,6 FSi ;69.900 kr.;220.000;Syd- og Sønderjylland;2005
Audi A3 30 TFSi ;199.900 kr.;83.000;Vestjylland;2019
Audi A5 2,0 TFSi 190 Sport Sportback S-tr. ;360.000 kr.;78.000;København;2017
Audi A6 2,0 TFSi ;89.900 kr.;142.000;Østjylland;2007
Audi S4 4,2 V8 Avant quattro ;219.900 kr.;106.000;Syd- og Sønderjylland;2003
Audi A1 35 TFSi Sportback S-tr. ;259.900 kr.;64.000;Syd- og Sønderjylland;2019
Audi A4 40 TFSi Advanced S-tr. ;419.900 kr.;8.000;Fyn;2020
Audi Q2 35 TFSi Prestige S-tr. ;359.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi RS6 4,0 TFSi Avant quattro Tiptr. ;1.199.800 kr.;77.000;Nordjylland;2015
Audi A6 45 TFSi Sport Avant S-tr. ;549.900 kr.;26.000;København;2019
Audi A4 2,4 V6 Cabriolet Multitr. ;79.900 kr.;262.000;Nordjylland;2002
Audi Q3 35 TFSi Advanced S-tr. ;389.900 kr.;8.000;Syd- og Vestsjælland;2020
Audi Q5 2,0 TFSi 211 quattro S-tr. ;229.900 kr.;159.000;Vestjylland;2011
Audi A3 1,4 TFSi 150 Sport Sportback S-tr. ;239.900 kr.;68.000;København;2017
Audi RS Q3 2,5 TFSi quattro S-tr. ;629.900 kr.;56.000;København;2015
Audi A3 35 TFSi Prestige Sportback S-tr. ;371.900 kr.;6.000;Østjylland;2021
Audi RS5 2,9 TFSi Sportback quattro Tiptr. ;1.887.675 kr.;0;København;2020
Audi A7 3,0 TFSi Sportback quattro S-tr. ;Ring;67.000;København;2015
Audi A3 1,5 TFSi 150 Sport Sportback S-tr. ;249.000 kr.;24.000;Vestjylland;2018
Audi TT 2,0 TFSi 230 Coupé quattro S-tr. ;409.900 kr.;94.000;Syd- og Vestsjælland;2014
Audi A3 30 TFSi Sportback ;239.800 kr.;24.000;Nordsjælland;2019
Audi A4 2,0 TFSi 190 Sport Avant S-tr. ;319.000 kr.;82.000;Syd- og Sønderjylland;2017
Audi Q2 30 TFSi Prestige ;289.900 kr.;15.000;København;2021
Audi A5 2,0 TFSi 252 Sport Sportback quattro S-tr. ;579.900 kr.;64.000;Nordsjælland;2018
Audi A4 2,0 TFSi 190 Sport Avant ;289.800 kr.;58.000;Nordsjælland;2018
Audi Q5 2,0 TFSi 252 S-line quattro S-tr. ;649.800 kr.;54.000;Syd- og Sønderjylland;2017
