model;type;price;km;location;year;link
Audi A5;40 TFSi Prestige+ Sportback S-tr.;478900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-prestige--sportback-s-tr/1738333
Audi A5;40 TFSi Prestige+ Sportback S-tr.;464900;12.000;Kastrup;2020;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-prestige--sportback-s-tr/1774504
Audi A5;40 TFSi Advanced+ Sportback S-tr.;454900;19.000;Risskov;2020;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-advanced--sportback-s-tr/1777110
Audi RS Q8;4,0 TFSi quattro Tiptr.;2995000;5.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/rs-q8/4-0-tfsi-quattro-tiptr/1738001
Audi A3;1,4 TFSi 140 Ambition S-tr.;199900;133.000;Fredericia;2014;https://www.biltorvet.dk/bil/audi/a3/1-4-tfsi-140-ambition-s-tr/1738138
Audi Q2;35 TFSi Prestige S-tr.;335900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738336
Audi Q3;35 TFSi Prestige Sportback S-tr.;384900;9.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-prestige-sportback-s-tr/1738768
Audi S1;2,0 TFSi Sportback quattro;354900;42.000;Aalborg;2018;https://www.biltorvet.dk/bil/audi/s1/2-0-tfsi-sportback-quattro/1738203
Audi A1;30 TFSi Advanced Sportback S-tr.;289900;4.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a1/30-tfsi-advanced-sportback-s-tr/1737990
Audi A1;30 TFSi Advanced Sportback S-tr.;295900;4.000;Søborg;2021;https://www.biltorvet.dk/bil/audi/a1/30-tfsi-advanced-sportback-s-tr/1738016
Audi Q2;35 TFSi Prestige S-tr.;334900;5.000;Holbæk;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738653
Audi A4;40 TFSi Advanced S-tr.;419900;8.000;Odense;2020;https://www.biltorvet.dk/bil/audi/a4/40-tfsi-advanced-s-tr/1738763
Audi Q3;35 TFSi Advanced S-tr.;404900;7.000;Odense;2020;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-advanced-s-tr/1738772
Audi Q3;35 TFSi Prestige S-tr.;364900;10.000;Odense;2021;https://www.biltorvet.dk/bil/audi/q3/35-tfsi-prestige-s-tr/1777317
Audi Q2;35 TFSi Prestige S-tr.;499900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738090
Audi A3;35 TFSi Prestige Sportback S-tr.;371900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-sportback-s-tr/1738306
Audi Q2;35 TFSi Prestige S-tr.;335900;6.000;Kokkedal;2021;https://www.biltorvet.dk/bil/audi/q2/35-tfsi-prestige-s-tr/1738682
Audi A5;40 TFSi Prestige+ Sportback S-tr.;479900;6.000;Odense;2020;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-prestige--sportback-s-tr/1738790
Audi A5;40 TFSi Prestige+ Sportback S-tr.;479900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a5/40-tfsi-prestige--sportback-s-tr/1743434
Audi A3;35 TFSi Prestige S-tr.;394900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tfsi-prestige-s-tr/1738073
Audi S6;4,0 TFSi Avant quattro S-tr.;449900;201.000;Aalborg;2013;https://www.biltorvet.dk/bil/audi/s6/4-0-tfsi-avant-quattro-s-tr/1738153
