Audi A6 2,0 TDi 190 S-line Avant S-tr. ;70.000;2018;København;22,7 km/l
Audi A7 55 TFSi Sportback quattro S-tr. ;91.000;2018;Østjylland;14,5 km/l
Audi A3 30 TFSi ;83.000;2019;Vestjylland;22,4 km/l
Audi A5 2,0 TFSi 190 Sport Sportback S-tr. ;78.000;2017;København;18,2 km/l
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;62.000;2018;Syd- og Sønderjylland;16,7 km/l
Audi A6 2,0 TFSi ;142.000;2007;Østjylland;12,7 km/l
Audi A5 2,0 TDi 150 S-line Sportback Multitr. ;96.000;2015;Syd- og Sønderjylland;20,8 km/l
Audi A4 2,0 TFSi 190 Sport Avant S-tr. ;53.000;2016;Østjylland;19,6 km/l
Audi S4 4,2 V8 Avant quattro ;106.000;2003;Syd- og Sønderjylland;7,5 km/l
Audi A6 3,0 TDi 320 S-line Avant quattro Tiptr. ;129.000;2015;Syd- og Sønderjylland;15,6 km/l
Audi A6 3,0 TDi 320 S-line Avant quattro Tiptr. ;129.000;2015;Syd- og Sønderjylland;15,6 km/l
Audi A1 35 TFSi Sportback S-tr. ;64.000;2019;Syd- og Sønderjylland;22,0 km/l
Audi SQ5 3,0 TFSi quattro Tiptr. ;72.000;2018;Nordjylland;12,0 km/l
Audi A6 3,0 TDi 218 Avant S-tr. ;95.000;2017;Nordjylland;21,7 km/l
Audi Q3 2,0 TDi 177 quattro S-tr. ;110.000;2015;Syd- og Sønderjylland;16,9 km/l
Audi A4 2,4 V6 Cabriolet Multitr. ;262.000;2002;Nordjylland;10,4 km/l
Audi A4 3,0 TDi 218 Avant quattro S-tr. ;50.000;2017;Syd- og Sønderjylland;21,3 km/l
Audi S6 3,0 TDi Avant quattro Tiptr. ;12.000;2020;Nordjylland;16,9 km/l
Audi SQ5 3,0 TDi 340 quattro Tiptr. ;52.000;2017;Syd- og Sønderjylland;14,9 km/l
Audi Q3 35 TFSi Advanced S-tr. ;8.000;2020;Syd- og Vestsjælland;18,9 km/l
Audi S6 4,0 TFSi Avant quattro S-tr. ;99.000;2016;Østjylland;10,6 km/l
Audi A4 3,0 TDi 272 S-line Avant quattro Tiptr. ;130.000;2016;Syd- og Sønderjylland;18,9 km/l
Audi A4 2,0 TDi 190 Avant S-tr. ;136.000;2018;Syd- og Sønderjylland;23,8 km/l
Audi A6 2,0 TDi 190 S-line Avant S-tr. ;72.000;2016;Syd- og Sønderjylland;22,7 km/l
Audi A6 2,0 TDi 190 S-line Avant S-tr. ;72.000;2016;Syd- og Sønderjylland;22,7 km/l
Audi Q5 2,0 TFSi 211 quattro S-tr. ;159.000;2011;Vestjylland;11,6 km/l
Audi Q8 50 TDi quattro Tiptr. ;26.000;2019;Nordjylland;16,2 km/l
Audi A3 1,4 TFSi 150 Sport Sportback S-tr. ;68.000;2017;København;20,4 km/l
Audi A3 35 TDi S-line Sportback S-tr. ;6.000;2021;København;28,2 km/l
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;64.000;2017;Syd- og Sønderjylland;16,5 km/l
Audi RS Q3 2,5 TFSi quattro S-tr. ;56.000;2015;København;12,8 km/l
Audi A3 35 TFSi Prestige Sportback S-tr. ;6.000;2021;Østjylland;22,9 km/l
Audi A6 allroad 3,0 TDi 313 quattro Tiptr. ;205.000;2014;Nordjylland;14,9 km/l
Audi RS5 2,9 TFSi Sportback quattro Tiptr. ;0;2020;København;10,9 km/l
Audi A4 2,0 TDi 190 Sport Avant S-tr. ;107.000;2017;Nordjylland;23,8 km/l
Audi A4 2,0 TDi 190 Sport Avant S-tr. ;107.000;2017;Nordjylland;23,8 km/l
Audi A7 3,0 TFSi Sportback quattro S-tr. ;67.000;2015;København;12,9 km/l
Audi A6 3,0 TDi 272 S-line Avant quattro S-tr. ;108.000;2016;Syd- og Sønderjylland;18,5 km/l
Audi Q5 2,0 TDi 170 quattro ;177.000;2010;Syd- og Sønderjylland;14,9 km/l
Audi Q5 3,0 TDi 286 S-line quattro Tiptr. ;68.000;2018;Fyn;17,5 km/l
Audi Q5 3,0 TDi 286 S-line quattro Tiptr. ;68.000;2018;Fyn;17,5 km/l
Audi A3 1,5 TFSi 150 Sport Sportback S-tr. ;24.000;2018;Vestjylland;20,0 km/l
Audi A5 40 TDi Advanced+ Sportback S-tr. ;30.000;2020;Nordjylland;24,4 km/l
Audi TT 2,0 TFSi 230 Coupé quattro S-tr. ;94.000;2014;Syd- og Vestsjælland;15,6 km/l
Audi A6 2,0 TDi 190 Ultra Avant S-tr. ;123.000;2018;Østjylland;22,7 km/l
Audi e-tron 55 Advanced quattro ;6.000;2019;Østjylland;-
Audi Q3 2,0 TDi 184 Sport quattro ;78.000;2016;Østjylland;18,9 km/l
Audi SQ5 3,0 TFSi quattro Tiptr. ;61.000;2018;København;12,0 km/l
Audi A6 40 TDi Sport Avant S-tr. ;31.000;2019;Østjylland;23,4 km/l
Audi Q5 3,0 TDi 286 S-line quattro Tiptr. ;68.000;2018;Syd- og Sønderjylland;17,5 km/l
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;187.000;2014;Fyn;14,7 km/l
Audi A6 45 TDi S-line Avant quattro Tiptr ;134.000;2019;Nordjylland;17,2 km/l
Audi A6 45 TDi S-line Avant quattro Tiptr ;134.000;2019;Nordjylland;17,2 km/l
Audi Q7 3,0 TDi 272 quattro Tiptr. ;99.000;2016;Østjylland;17,5 km/l
Audi A3 30 TFSi Sportback ;24.000;2019;Nordsjælland;22,0 km/l
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;56.000;2017;Syd- og Sønderjylland;13,2 km/l
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;56.000;2017;Syd- og Sønderjylland;13,2 km/l
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;52.000;2018;Syd- og Sønderjylland;15,9 km/l
Audi RS3 2,5 TFSi Sportback quattro S-tr. ;63.000;2016;København;12,3 km/l
Audi e-tron 55 Advanced quattro ;30.000;2020;Nordsjælland;-
Audi A4 2,0 TDi 190 Sport Avant S-tr. ;150.000;2016;Syd- og Sønderjylland;23,8 km/l
Audi A3 30 TDi Sport Limited Sportback ;8.000;2020;Nordjylland;24,4 km/l
Audi e-tron 50 S-line Prestige Sportback quattro ;6.000;2021;Nordjylland;-
Audi SQ5 3,0 TDi 326 quattro Tiptr. ;110.000;2016;København;15,2 km/l
Audi A4 allroad 2,0 TDi 190 quattro S-tr. ;72.000;2018;København;20,4 km/l
Audi A6 40 TDi Sport Avant S-tr. ;6.000;2020;Østjylland;23,4 km/l
Audi A4 2,0 TFSi 190 Sport Avant S-tr. ;82.000;2017;Syd- og Sønderjylland;19,6 km/l
Audi A6 3,0 TDi 272 S-line Avant quattro S-tr. ;51.000;2016;København;18,9 km/l
Audi S6 4,0 TFSi Avant quattro S-tr. ;67.000;2016;København;10,6 km/l
Audi TT RS 2,5 TFSi Coupé quattro S-tr. ;65.000;2018;Østjylland;12,2 km/l
Audi e-tron 55 Advanced quattro ;23.000;2020;Syd- og Sønderjylland;-
Audi e-tron 55 Advanced quattro ;23.000;2020;Syd- og Sønderjylland;-
Audi A6 50 TFSi e Sport Prestige quattro S-tr. ;6.000;2021;Østjylland;36,0 km/l
Audi S5 3,0 TFSi Cabriolet quattro S-tr. ;98.000;2014;Østjylland;11,8 km/l
Audi Q3 35 TDi Prestige S-tr. ;6.000;2021;Nordjylland;23,4 km/l
Audi Q3 2,0 TDi 140 ;83.000;2012;Nordjylland;19,2 km/l
Audi Q3 45 TFSi e Attitude+ S-tr. ;6.000;2021;Østjylland;36,0 km/l
Audi Q3 45 TFSi e S-line+ S-tr. ;6.000;2021;Østjylland;34,6 km/l
Audi A4 3,0 TDi 218 Sport Avant quattro S-tr ;98.000;2017;Nordsjælland;21,3 km/l
Audi A4 3,0 TDi 218 Sport Avant quattro S-tr ;98.000;2017;Nordsjælland;21,3 km/l
Audi Q2 30 TFSi Prestige ;15.000;2021;København;20,9 km/l
Audi A5 3,0 TDi 245 Sportback quattro S-tr. ;142.000;2015;Syd- og Vestsjælland;17,5 km/l
Audi A3 35 TDi Sport Limited Sportback S-tr. ;54.000;2020;Nordjylland;24,4 km/l
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;88.000;2015;Østjylland;14,7 km/l
Audi A6 3,0 TDi 320 S-line Avant quattro Tiptr. ;179.000;2015;Syd- og Sønderjylland;15,6 km/l
Audi A6 allroad 3,0 TDi 245 quattro S-tr. ;139.000;2013;Østjylland;15,9 km/l
Audi A6 3,0 TDi 245 Avant quattro S-tr. ;165.000;2012;Syd- og Vestsjælland;16,9 km/l
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. 7prs ;45.000;2017;Syd- og Sønderjylland;16,9 km/l
Audi A6 50 TDi Sport Avant quattro Tiptr. ;30.000;2020;Nordjylland;19,3 km/l
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;46.000;2017;Nordjylland;20,4 km/l
Audi TTS 2,0 TFSi Coupé quattro S-tr. ;99.000;2016;Syd- og Sønderjylland;14,9 km/l
Audi RS Q8 4,0 TFSi quattro Tiptr. ;7.000;2020;København;8,3 km/l
Audi A1 1,0 TFSi 95 Sportback ;30.000;2017;Nordjylland;23,8 km/l
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;108.000;2016;Østjylland;15,2 km/l
Audi S5 3,0 TFSi Cabriolet quattro Tiptr. ;41.000;2018;Østjylland;12,7 km/l
Audi A6 2,0 TDi 190 Ultra S-line Avant S-tr. ;75.000;2017;Nordjylland;22,2 km/l
Audi A6 2,0 TDi 190 Ultra S-line Avant S-tr. ;75.000;2017;Nordjylland;22,2 km/l
Audi R8 4,2 FSi Coupé quattro ;68.000;2012;Østjylland;7,0 km/l
Audi A4 40 TDi Advanced+ Avant S-tr. ;8.000;2020;Nordjylland;25,0 km/l
Audi RS6 4,0 TFSi Avant quattro Tiptr. ;31.000;2019;København;9,6 km/l
Audi A4 3,0 TDi 218 quattro S-tr. ;90.000;2016;København;22,7 km/l
Audi SQ5 3,0 TDi 340 quattro Tiptr. ;92.000;2016;København;15,2 km/l
Audi A4 2,0 TDi 190 Avant S-tr. ;93.000;2018;Syd- og Sønderjylland;23,8 km/l
Audi A5 1,8 TFSi 144 Limited Sportback Multitr. ;95.000;2016;Østjylland;16,9 km/l
Audi A6 allroad 3,0 TDi 245 quattro S-tr. ;160.000;2013;Syd- og Vestsjælland;15,9 km/l
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;76.000;2017;Syd- og Sønderjylland;13,2 km/l
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;72.000;2017;Nordjylland;20,4 km/l
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;72.000;2017;Nordjylland;20,4 km/l
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;88.000;2017;Fyn;19,6 km/l
Audi Q5 2,0 TDi 190 S-line quattro S-tr. ;88.000;2017;Fyn;19,6 km/l
Audi A3 1,6 TDi 110 Attraction Sportback ;124.000;2016;Vestjylland;26,3 km/l
Audi A3 35 TFSi Sport Cabriolet S-tr. ;4.000;2019;København;21,2 km/l
Audi SQ5 3,0 TDi 313 quattro Tiptr. ;126.000;2012;Lolland-Falster;14,7 km/l
Audi A4 2,0 TDi 190 Sport Avant S-tr. ;101.000;2017;Nordjylland;23,8 km/l
Audi A4 2,0 TDi 190 Sport Avant S-tr. ;101.000;2017;Nordjylland;23,8 km/l
Audi Q5 2,0 TDi 190 Sport S-line quattro S-tr. ;66.000;2018;Nordjylland;19,2 km/l
Audi Q5 2,0 TDi 190 Sport S-line quattro S-tr. ;66.000;2018;Nordjylland;19,2 km/l
Audi SQ5 3,0 TFSi quattro Tiptr. ;50.000;2017;Syd- og Sønderjylland;12,0 km/l
Audi SQ5 3,0 TDi 326 Competition quattro Tiptr. ;182.000;2016;København;15,1 km/l
Audi A4 2,0 TFSi 190 Sport Avant S-tr. ;86.000;2018;Syd- og Sønderjylland;17,9 km/l
Audi A4 2,0 TFSi 190 Sport Avant S-tr. ;35.000;2018;Østjylland;18,9 km/l
Audi A6 2,0 TDi 190 S-line Avant S-tr. ;123.000;2016;Nordjylland;22,2 km/l
Audi S4 3,0 TFSi Avant quattro Tiptr. ;72.000;2017;Syd- og Sønderjylland;13,3 km/l
Audi S6 3,0 TDi Avant quattro Tiptr. ;37.000;2020;Østjylland;16,9 km/l
Audi A6 3,0 TDi 272 Avant quattro S-tr. ;58.000;2016;Østjylland;18,9 km/l
Audi A6 3,0 TDi 272 Avant quattro S-tr. ;58.000;2016;Østjylland;18,9 km/l
Audi A4 2,0 TDi 143 Avant ;329.000;2012;Vestjylland;21,2 km/l
Audi SQ5 3,0 TFSi quattro Tiptr. ;120.000;2018;Syd- og Sønderjylland;12,0 km/l
Audi RS e-tron GT quattro ;0;2022;København;-
Audi A4 1,8 TFSi 120 S-line Avant ;60.000;2015;Syd- og Vestsjælland;15,2 km/l
Audi RS7 4,0 TFSi Sportback quattro Tiptr. ;85.000;2014;København;10,2 km/l
Audi A3 1,4 TFSi 125 Attraction Sportback ;49.000;2015;Fyn;19,6 km/l
Audi A5 2,0 TDi 190 S-line Sportback quattro S-tr. ;93.000;2015;Østjylland;19,6 km/l
Audi A6 allroad 3,0 TDi 204 quattro S-tr. ;195.000;2014;Fyn;16,4 km/l
Audi A6 2,0 TDi Ultra S-line Avant quattro S-tr. ;123.000;2016;Syd- og Sønderjylland;19,6 km/l
Audi Q3 35 TFSi S-tr. ;7.000;2021;Fyn;18,6 km/l
Audi A4 allroad 2,0 TDi 177 quattro S-tr. ;160.000;2013;Nordjylland;16,7 km/l
Audi Q5 3,0 TDi 286 S-line quattro Tiptr. ;49.000;2018;Syd- og Sønderjylland;17,5 km/l
Audi Q7 3,0 TDi 272 quattro Tiptr. 7prs ;55.000;2018;Nordjylland;16,7 km/l
Audi A4 3,0 TDi 218 Sport Avant S-tr. ;48.000;2017;Syd- og Sønderjylland;22,7 km/l
Audi TT 2,0 TFSi 230 Coupé S-tr. ;57.000;2015;Syd- og Sønderjylland;15,6 km/l
Audi A8 6,0 W12 quattro Tiptr. lang ;172.000;2005;København;7,2 km/l
Audi A4 3,0 TDi 245 Avant quattro S-tr. ;95.000;2013;København;16,9 km/l
Audi Q3 35 TFSi S-line Sportback S-tr. ;6.000;2021;Østjylland;17,8 km/l
Audi Q2 35 TFSi Prestige S-tr. ;6.000;2021;København;21,6 km/l
