model;type;price;km;location;year;link
Audi Q7;3,0 TDi 272 quattro Tiptr. 7prs;849900;55.000;Aalborg;2018;https://www.biltorvet.dk/bil/audi/q7/3-0-tdi-272-quattro-tiptr--7prs/1738160
Audi A6;3,0 TDi 320 quattro Tiptr.;499900;93.000;Aalborg;2014;https://www.biltorvet.dk/bil/audi/a6/3-0-tdi-320-quattro-tiptr/1763444
Audi A5;40 TDi Prestige+ Sportback S-tr.;499900;16.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a5/40-tdi-prestige--sportback-s-tr/1738135
Audi Q3;35 TDi Advanced S-tr.;402900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/35-tdi-advanced-s-tr/1763808
Audi A6;40 TDi Sport Avant S-tr.;554900;19.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1738161
Audi A4;35 TDi Prestige+ Avant S-tr.;419900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a4/35-tdi-prestige--avant-s-tr/1738198
Audi A4;40 TDi Advanced+ Avant S-tr.;444900;8.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tdi-advanced--avant-s-tr/1738224
Audi A6;40 TDi Sport Avant S-tr.;559900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1738235
Audi A6;40 TDi Sport S-tr.;519900;12.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-s-tr/1738165
Audi A4;40 TDi Prestige+ Avant S-tr.;489900;8.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a4/40-tdi-prestige--avant-s-tr/1738186
Audi A4;35 TDi Prestige+ Avant S-tr.;429900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a4/35-tdi-prestige--avant-s-tr/1738196
Audi A4;35 TDi Prestige+ S-tr.;409900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a4/35-tdi-prestige--s-tr/1738212
Audi A6;40 TDi Sport Avant S-tr.;559900;8.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1738227
Audi A4;35 TDi Prestige+ S-tr.;404900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a4/35-tdi-prestige--s-tr/1738237
Audi A6;40 TDi Sport S-tr.;509900;16.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-s-tr/1738245
Audi A3;2,0 TDi 150 Sport S-tr.;249900;80.000;Risskov;2018;https://www.biltorvet.dk/bil/audi/a3/2-0-tdi-150-sport-s-tr/1773507
Audi A6;40 TDi Sport Avant S-tr.;584900;12.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1775566
Audi A6;40 TDi Sport Avant S-tr.;593900;10.000;Søborg;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1737940
Audi Q5;3,0 TDi 258 quattro S-tr.;474900;85.000;Aalborg;2017;https://www.biltorvet.dk/bil/audi/q5/3-0-tdi-258-quattro-s-tr/1738262
Audi Q8;50 TDi quattro Tiptr.;1224900;26.000;Aalborg;2019;https://www.biltorvet.dk/bil/audi/q8/50-tdi-quattro-tiptr/1738229
Audi A6;40 TDi Sport Avant S-tr.;599900;10.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-avant-s-tr/1754688
Audi Q7;50 TDi S-line quattro Tiptr.;1439000;13.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/q7/50-tdi-s-line-quattro-tiptr/1741267
Audi A3;35 TDi S-line Sportback S-tr.;494900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/35-tdi-s-line-sportback-s-tr/1738106
Audi A4;35 TDi Prestige Avant S-tr.;414900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a4/35-tdi-prestige-avant-s-tr/1738213
Audi A4;35 TDi Prestige Avant S-tr.;414900;6.000;Aalborg;2021;https://www.biltorvet.dk/bil/audi/a4/35-tdi-prestige-avant-s-tr/1738207
Audi A6;40 TDi Sport Prestige Avant S-tr.;638900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a6/40-tdi-sport-prestige-avant-s-tr/1738361
Audi A3;30 TDi Sport Limited Sportback S-tr.;289900;28.000;Kokkedal;2019;https://www.biltorvet.dk/bil/audi/a3/30-tdi-sport-limited-sportback-s-tr/1738695
Audi A3;35 TDi Sport Limited Sportback S-tr.;324900;54.000;Aalborg;2020;https://www.biltorvet.dk/bil/audi/a3/35-tdi-sport-limited-sportback-s-tr/1738280
Audi Q2;1,6 TDi 116 Sport S-tr.;239900;105.000;Kokkedal;2017;https://www.biltorvet.dk/bil/audi/q2/1-6-tdi-116-sport-s-tr/1764020
Audi A4;2,0 TDi 190 Avant quattro S-tr.;329900;67.000;Risskov;2016;https://www.biltorvet.dk/bil/audi/a4/2-0-tdi-190-avant-quattro-s-tr/1763941
Audi Q3;35 TDi S-line Sportback S-tr.;464900;11.000;Fredericia;2020;https://www.biltorvet.dk/bil/audi/q3/35-tdi-s-line-sportback-s-tr/1772356
Audi A1;1,6 TDi 116 Sportback;154900;75.000;Aalborg;2016;https://www.biltorvet.dk/bil/audi/a1/1-6-tdi-116-sportback/1738230
Audi A5;2,0 TDi 190 Sportback Multitr.;289900;81.000;Aalborg;2016;https://www.biltorvet.dk/bil/audi/a5/2-0-tdi-190-sportback-multitr/1738256
Audi A6;2,0 TDi 190 S-line Avant S-tr.;299900;102.000;Søborg;2016;https://www.biltorvet.dk/bil/audi/a6/2-0-tdi-190-s-line-avant-s-tr/1746194
