model;price;km;location;year
Audi Q2 1,6 TDi 116 Sport S-tr. ;239.900 kr.;105.000;København;2017
Audi A6 40 TDi Sport S-tr. ;509.900 kr.;7.000;Syd- og Vestsjælland;2020
Audi A4 2,0 TDi 150 Sport S-tr. ;249.800 kr.;170.000;Syd- og Vestsjælland;2017
Audi A4 3,0 TDi 272 Sport Avant quattro Tiptr. ;379.995 kr.;122.000;København;2016
Audi A4 2,0 TDi 190 Avant quattro S-tr. ;329.900 kr.;67.000;Østjylland;2016
Audi A3 35 TDi Prestige Sportback S-tr. ;384.900 kr.;15.000;Nordjylland;2021
Audi A4 allroad 2,0 TDi 177 quattro S-tr. ;249.700 kr.;173.000;Vestjylland;2013
Audi A5 2,0 TDi 190 Sport Sportback S-tr. ;339.800 kr.;101.000;Syd- og Sønderjylland;2017
Audi A5 2,0 TDi 190 S-line Sportback Multitr. ;239.800 kr.;168.000;Syd- og Vestsjælland;2015
Audi A4 2,0 TDi 190 Sport Avant quattro S-tr. ;339.900 kr.;88.000;Syd- og Sønderjylland;2017
Audi A3 1,6 TDi 110 Ultra Attraction ;169.500 kr.;113.000;Syd- og Sønderjylland;2016
Audi Q7 3,0 TDi 272 S-line quattro Tiptr. ;699.900 kr.;84.000;Østjylland;2015
Audi A4 2,0 TDi 150 Sport Avant S-tr. ;229.900 kr.;139.000;København;2017
Audi Q5 35 TDi Prestige S-tr. ;639.900 kr.;10.000;København;2021
Audi A1 1,6 TDi 90 Ambition Sportback ;109.900 kr.;99.000;Syd- og Sønderjylland;2014
Audi A6 3,0 TDi 326 Competition Avant quattro Tiptr. ;639.900 kr.;72.000;Syd- og Sønderjylland;2016
Audi A5 2,0 TDi 150 Sportback Multitr. ;249.900 kr.;132.000;Fyn;2016
Audi A5 2,0 TDi 150 Sportback Multitr. ;214.900 kr.;120.000;Fyn;2013
Audi A6 3,0 TDi 272 S-line Avant quattro S-tr. ;269.900 kr.;41.000;Østjylland;2017
Audi A6 40 TDi Sport Avant S-tr. ;629.900 kr.;5.000;København;2021
Audi A4 40 TDi Prestige+ Avant S-tr. ;434.900 kr.;5.000;København;2021
Audi Q5 2,0 TDi 190 quattro S-tr. ;269.900 kr.;178.000;København;2016
Audi A3 2,0 TDi 150 S-line Sportback S-tr. ;280.000 kr.;77.000;Østjylland;2018
Audi Q5 2,0 TDi 190 Sport quattro S-tr. ;265.000 kr.;30.000;Østjylland;2017
Audi A6 40 TDi Sport Avant S-tr. ;599.900 kr.;7.000;Syd- og Sønderjylland;2019
Audi Q5 40 TDi Sport quattro S-tr. ;617.900 kr.;11.000;Østjylland;2019
Audi Q5 3,0 TDi 245 quattro S-tr. ;349.800 kr.;178.000;Østjylland;2013
Audi A6 40 TDi Sport Avant S-tr. ;499.900 kr.;51.000;København;2019
Audi A6 3,0 TDi 320 S-line Avant quattro Tiptr. ;479.900 kr.;86.000;Syd- og Sønderjylland;2016
Audi A6 2,7 TDi 190 Avant quattro Tiptr. ;109.995 kr.;288.000;Syd- og Sønderjylland;2009
Audi A8 50 TDi quattro Tiptr. ;1.150.000 kr.;61.000;Fyn;2018
Audi A6 40 TDi Sport Avant S-tr. ;479.900 kr.;61.000;Syd- og Sønderjylland;2019
Audi A6 3,0 TDi 313 S-line Avant quattro Tiptr. ;309.900 kr.;174.000;Vestjylland;2013
Audi A6 2,0 TDi 190 Ultra S-line Avant S-tr. ;489.900 kr.;25.000;Nordjylland;2018
Audi A6 3,0 TDi 245 S-line Avant quattro Tiptr. ;349.900 kr.;129.000;Østjylland;2014
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;1.099.900 kr.;79.000;Syd- og Sønderjylland;2017
Audi A4 2,0 TDi 150 S-line Avant ;229.900 kr.;120.000;Fyn;2015
Audi A6 3,0 TDi 313 S-line quattro Tiptr. ;339.995 kr.;116.000;København;2012
Audi SQ7 4,0 TDi quattro Tiptr. 7prs ;1.299.900 kr.;53.000;Syd- og Sønderjylland;2018
