model;type;price;km;location;year;link
Audi Q3;45 TFSi e Attitude+ Sportback S-tr.;380900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-attitude--sportback-s-tr/1739681
Audi Q3;45 TFSi e S-line+ S-tr.;434900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-s-line--s-tr/1740695
Audi Q3;45 TFSi e S-line+ S-tr.;434900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-s-line--s-tr/1750056
Audi Q3;45 TFSi e Attitude+ Sportback S-tr.;380900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-attitude--sportback-s-tr/1757966
Audi A3;40 TFSi e S-line Sportback S-tr.;429900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-e-s-line-sportback-s-tr/1738097
Audi A3;40 TFSi e Prestige Sportback S-tr.;344900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-e-prestige-sportback-s-tr/1738322
Audi Q3;45 TFSi e S-line+ S-tr.;434900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/q3/45-tfsi-e-s-line--s-tr/1750128
Audi A3;40 TFSi e Prestige Sportback S-tr.;344900;9.000;Fredericia;2021;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-e-prestige-sportback-s-tr/1776368
Audi A3;1,4 e-tron Sportback S-tr.;274900;59.000;Odense;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1738786
Audi A7;50 TFSi e S-line Edition Sportback quattro S-tr.;719900;6.000;Risskov;2021;https://www.biltorvet.dk/bil/audi/a7/50-tfsi-e-s-line-edition-sportback-quattro-s-tr/1772343
Audi A3;1,4 e-tron Sport Sportback S-tr.;219900;42.000;Daugård;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1735226
Audi A3;1,4 e-tron Sport Sportback S-tr.;215900;54.000;Daugård;2017;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1776717
Audi A3;1,4 e-tron Sport Sportback S-tr.;234900;43.000;Daugård;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sport-sportback-s-tr/1776764
Audi A3;1,4 e-tron Sportback S-tr.;264900;22.000;Køge;2018;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-sportback-s-tr/1661409
Audi A3;40 TFSi e Sport Sportback S-tr.;349900;17.000;Silkeborg;2020;https://www.biltorvet.dk/bil/audi/a3/40-tfsi-e-sport-sportback-s-tr/1734096
Audi A3;1,4 e-tron Ambition Sportback S-tr.;225900;33.000;Daugård;2016;https://www.biltorvet.dk/bil/audi/a3/1-4-e-tron-ambition-sportback-s-tr/1730614
